Concept2 Utility - Version 7.14.0
Log Data for:,
,,,,,Total Workout Results,,,,Split or Work Interval Results,,,,Results Calculated by Formulas,,,Interval Rest Results
,Name,Date,Time of Day,Workout Name,Time,Meters,Avg SPM,Avg Heart Rate,Time,Meters,SPM,Heart Rate,/500m,Cal/hr,Watt,Time,Meters,Heart Rate

,,2025-04-19,16:07,0:40:07,,,,,15:00.0,1013,25,133,02:28.0,671,108
,,2025-04-19,16:07,0:40:07,,,,,20:00.0,988,25,136,02:31.8,644,100
,,2025-04-19,16:07,0:40:07,,,,,25:00.0,987,25,135,02:31.9,643,100
,,2025-04-19,16:07,0:40:07,,,,,30:00.0,972,24,133,02:34.3,627,95
,,2025-04-19,16:07,0:40:07,,,,,35:00.0,969,25,134,02:34.7,624,94
,,2025-04-19,16:07,0:40:07,,,,,40:00.0,968,25,133,02:34.9,623,94
,,2025-04-19,16:07,0:40:07,,,,,40:07.1,20,8,134,02:57.5,515,63

,,2025-04-17,11:14,0:40:08,40:08.0,7641,25,130,,,,,02:37.5,607,89
,,2025-04-17,11:14,0:40:08,,,,,05:00.0,1007,23,130,02:28.9,664,106
,,2025-04-17,11:14,0:40:08,,,,,10:00.0,997,25,130,02:30.4,653,103
,,2025-04-17,11:14,0:40:08,,,,,15:00.0,973,26,129,02:34.1,628,96
,,2025-04-17,11:14,0:40:08,,,,,20:00.0,963,26,128,02:35.7,618,93
,,2025-04-17,11:14,0:40:08,,,,,25:00.0,947,26,130,02:38.3,603,88
,,2025-04-17,11:14,0:40:08,,,,,30:00.0,919,26,131,02:43.2,577,80
,,2025-04-17,11:14,0:40:08,,,,,35:00.0,913,26,129,02:44.2,571,79
,,2025-04-17,11:14,0:40:08,,,,,40:00.0,902,25,132,02:46.2,561,76
,,2025-04-17,11:14,0:40:08,,,,,40:08.0,20,8,131,03:20.0,450,44

,,2025-04-15,19:56,0:33:01,33:01.0,6065,24,135,,,,,02:43.3,576,80
,,2025-04-15,19:56,0:33:01,,,,,05:00.0,997,25,135,02:30.4,653,103
,,2025-04-15,19:56,0:33:01,,,,,10:00.0,944,25,136,02:38.8,600,87
,,2025-04-15,19:56,0:33:01,,,,,15:00.0,911,24,138,02:44.6,569,78
,,2025-04-15,19:56,0:33:01,,,,,20:00.0,900,23,135,02:46.6,560,76
,,2025-04-15,19:56,0:33:01,,,,,25:00.0,894,23,133,02:47.7,555,74
,,2025-04-15,19:56,0:33:01,,,,,30:00.0,896,24,135,02:47.4,556,75
,,2025-04-15,19:56,0:33:01,,,,,33:01.0,522,24,133,02:53.3,531,67

,,2025-04-14,11:43,0:30:09,30:09.5,6057,26,141,,,,,02:29.3,661,105
